filename,rouge1_abstr_vs_extr,rouge2_abstr_vs_extr,rougeL_abstr_vs_extr,proxy_exists
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,0.4168012924071083,0.10372771474878444,0.17124394184168013,False
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,0.5066666666666667,0.160427807486631,0.20800000000000002,False
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,0.34980988593155893,0.13358778625954199,0.22053231939163498,False
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,0.5006150061500615,0.1477832512315271,0.1795817958179582,False
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,0.5225988700564972,0.17563739376770537,0.2288135593220339,False
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,0.5079191698525396,0.1607435757244396,0.1736755871108684,False
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",0.46689895470383275,0.15832363213038417,0.20905923344947733,False
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .txt",0.381151832460733,0.2119622245540399,0.29319371727748694,False
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",0.38095238095238093,0.10619469026548672,0.18694885361552027,False
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",0.38095238095238093,0.10619469026548672,0.18694885361552027,False
